Local time,Open,High,Low,Close,Volume
03.07.2023 03:33:00.000 GMT+0530,1.09108,1.09124,1.09103,1.09106,124.2
03.07.2023 03:34:00.000 GMT+0530,1.09106,1.09108,1.09101,1.09108,77.4
03.07.2023 03:35:00.000 GMT+0530,1.09107,1.09108,1.09106,1.09106,21.6
03.07.2023 03:36:00.000 GMT+0530,1.09104,1.09108,1.09104,1.09108,32.4
03.07.2023 03:37:00.000 GMT+0530,1.09104,1.09108,1.09103,1.09108,22.95
03.07.2023 03:38:00.000 GMT+0530,1.09104,1.09105,1.09104,1.09104,20.25
03.07.2023 03:39:00.000 GMT+0530,1.09105,1.09108,1.09104,1.09108,45
03.07.2023 03:40:00.000 GMT+0530,1.09103,1.09103,1.09095,1.09102,88.65
03.07.2023 03:41:00.000 GMT+0530,1.09103,1.09104,1.09097,1.09102,72
03.07.2023 03:42:00.000 GMT+0530,1.09103,1.09108,1.09103,1.09108,69.3
03.07.2023 03:43:00.000 GMT+0530,1.09108,1.09112,1.09107,1.09112,32.4
03.07.2023 03:44:00.000 GMT+0530,1.09122,1.09127,1.09114,1.09122,126.9
03.07.2023 03:45:00.000 GMT+0530,1.09124,1.09128,1.09121,1.09124,62.51
03.07.2023 03:46:00.000 GMT+0530,1.09124,1.09126,1.09119,1.09120,117.3
03.07.2023 03:47:00.000 GMT+0530,1.09121,1.09124,1.09118,1.09121,80.3
03.07.2023 03:48:00.000 GMT+0530,1.09121,1.09121,1.09118,1.09119,16.11
03.07.2023 03:49:00.000 GMT+0530,1.09120,1.09121,1.09119,1.09120,18
03.07.2023 03:50:00.000 GMT+0530,1.09120,1.09130,1.09120,1.09122,43.84
03.07.2023 03:51:00.000 GMT+0530,1.09121,1.09122,1.09117,1.09119,57.06
03.07.2023 03:52:00.000 GMT+0530,1.09121,1.09126,1.09118,1.09118,41.38
03.07.2023 03:53:00.000 GMT+0530,1.09117,1.09117,1.09111,1.09112,32.59
03.07.2023 03:54:00.000 GMT+0530,1.09114,1.09119,1.09111,1.09117,53.55
03.07.2023 03:55:00.000 GMT+0530,1.09116,1.09117,1.09113,1.09117,35.86
03.07.2023 03:56:00.000 GMT+0530,1.09116,1.09116,1.09108,1.09109,32.4
03.07.2023 03:57:00.000 GMT+0530,1.09108,1.09114,1.09107,1.09114,28.99
03.07.2023 03:58:00.000 GMT+0530,1.09112,1.09114,1.09112,1.09112,14.78
03.07.2023 03:59:00.000 GMT+0530,1.09112,1.09112,1.09110,1.09110,7.2
03.07.2023 04:00:00.000 GMT+0530,1.09111,1.09115,1.09110,1.09114,34.32
03.07.2023 04:01:00.000 GMT+0530,1.09115,1.09116,1.09111,1.09111,86.85
03.07.2023 04:02:00.000 GMT+0530,1.09111,1.09118,1.09111,1.09114,67.75
03.07.2023 04:03:00.000 GMT+0530,1.09114,1.09119,1.09113,1.09116,97.65
03.07.2023 04:04:00.000 GMT+0530,1.09115,1.09118,1.09114,1.09114,105.45
03.07.2023 04:05:00.000 GMT+0530,1.09113,1.09114,1.09112,1.09112,25.2
03.07.2023 04:06:00.000 GMT+0530,1.09112,1.09114,1.09090,1.09092,168.97
03.07.2023 04:07:00.000 GMT+0530,1.09091,1.09094,1.09088,1.09093,74.91
03.07.2023 04:08:00.000 GMT+0530,1.09095,1.09096,1.09093,1.09093,33.05
03.07.2023 04:09:00.000 GMT+0530,1.09093,1.09097,1.09093,1.09097,64.53
03.07.2023 04:10:00.000 GMT+0530,1.09097,1.09098,1.09089,1.09091,88.84
03.07.2023 04:11:00.000 GMT+0530,1.09091,1.09095,1.09088,1.09095,110.7
03.07.2023 04:12:00.000 GMT+0530,1.09094,1.09095,1.09093,1.09093,56.7
03.07.2023 04:13:00.000 GMT+0530,1.09094,1.09096,1.09089,1.09094,276.3
03.07.2023 04:14:00.000 GMT+0530,1.09095,1.09099,1.09090,1.09099,57.15
03.07.2023 04:15:00.000 GMT+0530,1.09093,1.09093,1.09089,1.09089,45
03.07.2023 04:16:00.000 GMT+0530,1.09089,1.09089,1.09086,1.09088,51.75
03.07.2023 04:17:00.000 GMT+0530,1.09089,1.09089,1.09088,1.09089,40.5
03.07.2023 04:18:00.000 GMT+0530,1.09091,1.09092,1.09089,1.09089,35.1
03.07.2023 04:19:00.000 GMT+0530,1.09090,1.09094,1.09089,1.09090,34.2
03.07.2023 04:20:00.000 GMT+0530,1.09089,1.09092,1.09089,1.09092,5.4
03.07.2023 04:21:00.000 GMT+0530,1.09096,1.09096,1.09093,1.09094,45.9
03.07.2023 04:22:00.000 GMT+0530,1.09096,1.09097,1.09095,1.09096,53.1
03.07.2023 04:23:00.000 GMT+0530,1.09097,1.09100,1.09092,1.09100,71.55
03.07.2023 04:24:00.000 GMT+0530,1.09100,1.09100,1.09097,1.09097,17.1
03.07.2023 04:25:00.000 GMT+0530,1.09097,1.09097,1.09093,1.09096,63.45
03.07.2023 04:26:00.000 GMT+0530,1.09096,1.09098,1.09096,1.09097,45
03.07.2023 04:27:00.000 GMT+0530,1.09096,1.09097,1.09090,1.09092,57.6
03.07.2023 04:28:00.000 GMT+0530,1.09092,1.09095,1.09085,1.09085,104.49
03.07.2023 04:29:00.000 GMT+0530,1.09086,1.09097,1.09085,1.09092,46.11
03.07.2023 04:30:00.000 GMT+0530,1.09092,1.09097,1.09091,1.09091,104.61
03.07.2023 04:31:00.000 GMT+0530,1.09091,1.09096,1.09088,1.09089,28.32
03.07.2023 04:32:00.000 GMT+0530,1.09092,1.09092,1.09083,1.09092,118.14
03.07.2023 04:33:00.000 GMT+0530,1.09092,1.09092,1.09082,1.09082,143.26
03.07.2023 04:34:00.000 GMT+0530,1.09082,1.09089,1.09081,1.09082,75.58
03.07.2023 04:35:00.000 GMT+0530,1.09081,1.09090,1.09081,1.09090,62.1
03.07.2023 04:36:00.000 GMT+0530,1.09091,1.09095,1.09086,1.09091,100.57
03.07.2023 04:37:00.000 GMT+0530,1.09095,1.09096,1.09093,1.09095,28.8
03.07.2023 04:38:00.000 GMT+0530,1.09093,1.09094,1.09093,1.09094,14.4
03.07.2023 04:39:00.000 GMT+0530,1.09096,1.09097,1.09090,1.09096,63.54
03.07.2023 04:40:00.000 GMT+0530,1.09097,1.09099,1.09090,1.09092,81.63
03.07.2023 04:41:00.000 GMT+0530,1.09097,1.09097,1.09092,1.09093,38.34
03.07.2023 04:42:00.000 GMT+0530,1.09092,1.09099,1.09092,1.09092,126.76
03.07.2023 04:43:00.000 GMT+0530,1.09093,1.09097,1.09085,1.09091,123.07
03.07.2023 04:44:00.000 GMT+0530,1.09091,1.09092,1.09087,1.09090,54
03.07.2023 04:45:00.000 GMT+0530,1.09088,1.09088,1.09087,1.09087,10.8
03.07.2023 04:46:00.000 GMT+0530,1.09085,1.09092,1.09081,1.09088,63.22
03.07.2023 04:47:00.000 GMT+0530,1.09086,1.09086,1.09085,1.09085,15.29
03.07.2023 04:48:00.000 GMT+0530,1.09086,1.09088,1.09086,1.09088,15.3
03.07.2023 04:49:00.000 GMT+0530,1.09087,1.09089,1.09087,1.09089,11.7
03.07.2023 04:50:00.000 GMT+0530,1.09088,1.09090,1.09088,1.09089,32.17
03.07.2023 04:51:00.000 GMT+0530,1.09089,1.09089,1.09089,1.09089,6.3
03.07.2023 04:52:00.000 GMT+0530,1.09089,1.09090,1.09087,1.09087,18.9
03.07.2023 04:53:00.000 GMT+0530,1.09088,1.09088,1.09087,1.09087,49.5
03.07.2023 04:54:00.000 GMT+0530,1.09087,1.09088,1.09087,1.09088,52.2
03.07.2023 04:55:00.000 GMT+0530,1.09088,1.09088,1.09083,1.09083,44.32
03.07.2023 04:56:00.000 GMT+0530,1.09084,1.09088,1.09083,1.09088,10.8
03.07.2023 04:57:00.000 GMT+0530,1.09088,1.09090,1.09088,1.09088,10.8
03.07.2023 04:58:00.000 GMT+0530,1.09087,1.09087,1.09081,1.09081,51.29
03.07.2023 04:59:00.000 GMT+0530,1.09083,1.09083,1.09081,1.09083,30.6
03.07.2023 05:00:00.000 GMT+0530,1.09082,1.09083,1.09072,1.09075,83.24
03.07.2023 05:01:00.000 GMT+0530,1.09072,1.09075,1.09067,1.09069,59.61
03.07.2023 05:02:00.000 GMT+0530,1.09068,1.09070,1.09067,1.09068,73.8
03.07.2023 05:03:00.000 GMT+0530,1.09066,1.09072,1.09065,1.09072,104.4
03.07.2023 05:04:00.000 GMT+0530,1.09072,1.09073,1.09072,1.09072,24.3
03.07.2023 05:05:00.000 GMT+0530,1.09074,1.09076,1.09072,1.09076,47.7
03.07.2023 05:06:00.000 GMT+0530,1.09076,1.09077,1.09075,1.09075,23.4
03.07.2023 05:07:00.000 GMT+0530,1.09075,1.09077,1.09075,1.09076,77.4
